year,month,day,mean_wind_speed,rainfall,solar_radiation,evaporation,
2006,4,7,2.1,0.0,25.74,5.3,
2006,4,8,2.2,5.4,18.93,4.4,
2006,4,9,2.3,1.6,15.20,2.0,
2006,4,10,1.9,0.2,22.66,4.0,
2006,4,11,1.9,5.2,13.46,2.4,
2006,4,12,2.1,0.0,23.28,4.9,
2006,4,13,2.4,-33.3,15.32,3.0,
2006,4,14,1.9,5.4,12.23,1.9,
2006,4,15,2.4,6.0,18.70,3.0,
2006,4,16,2.1,0.0,16.88,2.9,
2006,4,17,2.3,41.8,22.81,5.6,
2006,4,18,2.0,24.0,21.04,2.9,
2006,4,19,1.9,-33.3,22.33,3.7,
2006,4,20,2.2,15.7,9.69,2.3,
2006,4,21,2.2,3.8,17.47,3.6,
2006,4,22,2.0,10.4,22.96,2.9,
2006,4,23,2.2,4.0,17.35,1.7,
2006,4,24,2.0,5.0,15.06,2.2,
2006,4,25,2.0,-33.3,21.72,4.3,
2006,4,26,2.2,0.0,23.53,2.9,
2006,4,27,2.3,0.0,22.67,3.0,
2006,4,28,2.2,0.0,24.93,3.6,
2006,4,29,2.4,0.0,25.00,4.1,
2006,4,30,2.3,0.0,22.14,3.4,
2006,5,1,2.2,9.8,17.04,5.8,
2006,5,2,2.2,2.4,18.82,3.4,
2006,5,3,1.8,0.0,16.81,2.9,
2006,5,4,2.1,0.0,19.02,2.5,
2006,5,5,1.9,0.0,9.11,1.8,
2006,5,6,2.1,0.2,15.37,2.1,
2006,5,7,2.6,0.0,21.70,3.7,
2006,5,8,2.7,0.0,22.43,3.5,
2006,5,9,2.7,0.0,23.32,4.6,
2006,5,10,2.4,6.2,19.09,4.1,
2006,5,11,2.0,0.0,14.28,3.3,
2006,5,12,2.2,0.0,23.47,4.2,
2006,5,13,2.0,5.8,14.83,2.2,
2006,5,14,2.1,1.4,19.26,3.5,
2006,5,15,2.3,0.0,20.79,4.0,
2006,5,16,2.0,5.6,14.63,3.0,
2006,5,17,2.4,1.4,13.93,2.3,
2006,5,18,2.5,0.0,18.64,3.0,
2006,5,19,3.0,0.0,18.78,3.6,
